anchor_date,route,horizon_days,model,mae,rmse,wmape
2017-07-25,SVO-UFA,1,timesfm,19.316879272460938,19.316879022904992,0.10613670200109482
2017-07-25,SVO-UFA,1,naive_last,6.0,6.0,0.032967034727334976
2017-07-25,SVO-UFA,1,seasonal7,14.0,14.0,0.07692307978868484
2017-07-25,SVO-UFA,7,timesfm,6.490897178649902,10.014481930066912,0.03896765038371086
2017-07-25,SVO-UFA,7,naive_last,11.142857551574707,13.169228284466726,0.06689536571502686
2017-07-25,SVO-UFA,7,seasonal7,12.285714149475098,14.995237484508102,0.07375643402338028
2017-07-25,SVO-UFA,14,timesfm,6.90381383895874,9.379541136492357,0.03984064236283302
2017-07-25,SVO-UFA,14,naive_last,9.0,11.594333685399883,0.051937345415353775
2017-07-25,SVO-UFA,14,seasonal7,14.142857551574707,17.549928774784245,0.08161582797765732
2017-07-25,SVX-SVO,1,timesfm,27.405029296875,27.405029548082044,0.08926719427108765
2017-07-25,SVX-SVO,1,naive_last,15.0,15.0,0.048859935253858566
2017-07-25,SVX-SVO,1,seasonal7,22.0,22.0,0.07166124135255814
2017-07-25,SVX-SVO,7,timesfm,20.645280838012695,22.6195641831997,0.06372000277042389
2017-07-25,SVX-SVO,7,naive_last,12.571428298950195,19.12365797732206,0.03880070522427559
2017-07-25,SVX-SVO,7,seasonal7,20.428571701049805,22.287088065370803,0.06305114924907684
2017-07-25,SVX-SVO,14,timesfm,15.580042839050293,18.631325281318052,0.04783346503973007
2017-07-25,SVX-SVO,14,naive_last,12.571428298950195,17.410998040985564,0.038596492260694504
2017-07-25,SVX-SVO,14,seasonal7,17.714284896850586,20.52524556653114,0.0543859638273716
2017-07-25,UFA-SVO,1,timesfm,19.336990356445312,19.33699018599133,0.10742772370576859
2017-07-25,UFA-SVO,1,naive_last,6.0,6.0,0.03333333507180214
2017-07-25,UFA-SVO,1,seasonal7,6.0,6.0,0.03333333507180214
2017-07-25,UFA-SVO,7,timesfm,8.254972457885742,10.353195994347026,0.050160422921180725
2017-07-25,UFA-SVO,7,naive_last,11.142857551574707,14.382529235735865,0.0677083358168602
2017-07-25,UFA-SVO,7,seasonal7,8.285714149475098,11.698595950659929,0.0503472238779068
2017-07-25,UFA-SVO,14,timesfm,9.372611999511719,11.749242879945632,0.05522582679986954
2017-07-25,UFA-SVO,14,naive_last,11.142857551574707,13.799585994094114,0.06565656512975693
2017-07-25,UFA-SVO,14,seasonal7,14.285714149475098,19.515561667981704,0.08417508751153946
2017-07-25,VKO-AER,1,timesfm,7.039581298828125,7.039581381315932,0.04266412928700447
2017-07-25,VKO-AER,1,naive_last,18.0,18.0,0.1090909093618393
2017-07-25,VKO-AER,1,seasonal7,4.0,4.0,0.024242423474788666
2017-07-25,VKO-AER,7,timesfm,18.737394332885742,23.87816211471399,0.10742158442735672
2017-07-25,VKO-AER,7,naive_last,27.428571701049805,29.621421114915933,0.15724815428256989
2017-07-25,VKO-AER,7,seasonal7,18.571428298950195,23.766722885143814,0.10647010803222656
2017-07-25,VKO-AER,14,timesfm,18.460590362548828,21.774262324034297,0.1106371060013771
2017-07-25,VKO-AER,14,naive_last,20.428571701049805,25.019992006393608,0.12243150919675827
2017-07-25,VKO-AER,14,seasonal7,17.14285659790039,22.155296143739466,0.10273972898721695
2017-07-25,VKO-LED,1,timesfm,46.266754150390625,46.26675424998089,0.2514497637748718
2017-07-25,VKO-LED,1,naive_last,58.0,58.0,0.31521740555763245
2017-07-25,VKO-LED,1,seasonal7,34.0,34.0,0.18478260934352875
2017-07-25,VKO-LED,7,timesfm,25.08113670349121,28.89362266425002,0.12025202810764313
2017-07-25,VKO-LED,7,naive_last,36.0,39.12616998550171,0.17260274291038513
2017-07-25,VKO-LED,7,seasonal7,19.285715103149414,22.38302928559939,0.09246575087308884
2017-07-25,VKO-LED,14,timesfm,20.52608871459961,25.080452822258437,0.09468376636505127
2017-07-25,VKO-LED,14,naive_last,29.5,32.877478444479095,0.1360790729522705
2017-07-25,VKO-LED,14,seasonal7,15.357142448425293,18.483583331789404,0.07084019482135773
2017-07-25,VKO-PEE,1,timesfm,0.92999267578125,0.92999268980127,0.0033333071041852236
2017-07-25,VKO-PEE,1,naive_last,31.0,31.0,0.1111111119389534
2017-07-25,VKO-PEE,1,seasonal7,7.0,7.0,0.025089606642723083
2017-07-25,VKO-PEE,7,timesfm,11.916295051574707,15.738498423979385,0.04337704926729202
2017-07-25,VKO-PEE,7,naive_last,35.28571319580078,38.71692136521188,0.12844513356685638
2017-07-25,VKO-PEE,7,seasonal7,20.714284896850586,26.978827192804708,0.07540301978588104
2017-07-25,VKO-PEE,14,timesfm,19.85002326965332,23.682910484639287,0.07046154141426086
2017-07-25,VKO-PEE,14,naive_last,28.285715103149414,34.338649103679444,0.10040567815303802
2017-07-25,VKO-PEE,14,seasonal7,19.571428298950195,26.44671225062177,0.06947261840105057
2017-08-01,AER-SVO,1,timesfm,43.9656982421875,43.96569874362996,0.12384703755378723
2017-08-01,AER-SVO,1,naive_last,39.0,39.0,0.1098591536283493
2017-08-01,AER-SVO,1,seasonal7,34.0,34.0,0.09577465057373047
2017-08-01,AER-SVO,7,timesfm,14.871237754821777,20.120476066159725,0.04634847119450569
2017-08-01,AER-SVO,7,naive_last,13.142857551574707,17.960273985949954,0.04096170887351036
2017-08-01,AER-SVO,7,seasonal7,17.428571701049805,19.515561667981704,0.05431878939270973
2017-08-01,AER-SVO,14,timesfm,20.023784637451172,25.519419736573287,0.062379390001297
2017-08-01,AER-SVO,14,naive_last,18.85714340209961,24.66344877681153,0.058744993060827255
2017-08-01,AER-SVO,14,seasonal7,24.85714340209961,28.342295347526218,0.07743658125400543
2017-08-01,AER-VKO,1,timesfm,18.958831787109375,18.958832160619263,0.12724047899246216
2017-08-01,AER-VKO,1,naive_last,23.0,23.0,0.15436241030693054
2017-08-01,AER-VKO,1,seasonal7,7.0,7.0,0.0469798669219017
2017-08-01,AER-VKO,7,timesfm,20.337810516357422,21.15392602865438,0.12802578508853912
2017-08-01,AER-VKO,7,naive_last,18.571428298950195,19.914101577786294,0.11690647155046463
2017-08-01,AER-VKO,7,seasonal7,19.85714340209961,23.64922209220435,0.125
2017-08-01,AER-VKO,14,timesfm,28.797964096069336,33.21860668478022,0.1587289422750473
2017-08-01,AER-VKO,14,naive_last,25.571428298950195,30.884577327514435,0.14094488322734833
2017-08-01,AER-VKO,14,seasonal7,28.714284896850586,34.0,0.15826772153377533
2017-08-01,DME-KHV,1,timesfm,14.530807495117188,14.530807389932615,0.06919432431459427
2017-08-01,DME-KHV,1,naive_last,2.0,2.0,0.009523809887468815
